experiment,run,scenario,file_size_bytes,chunk_size_bytes,window_size,timeout_s,max_retries,delay_mean_ms,delay_std_ms,loss_probability,original_data_packets,total_data_packets,retransmitted_packets,ack_packets_sent,ack_packets_received,data_packets_lost,ack_packets_lost,useful_data_bytes,data_bytes_sent,ack_bytes_sent,total_bytes_sent,duration_s,throughput_bps,network_throughput_bps,mean_rtt_s,efficiency_ratio
file_size_curve,8,C,1048576,1024,4,1.0,100,100,0.0,0.2,1024,2065,1041,1644,1319,421,325,1048576,2114560,65760,2180320,335.60000000000184,3124.481525625728,6496.781883194243,0.34723275208491894,0.27608519816662175
file_size_curve,9,A,1048576,1024,4,1.0,100,10,0.0,0.0,1024,1024,0,1024,1024,0,0,1048576,1048576,40960,1089536,5.119999999999935,204800.0000000026,212800.00000000268,0.019999999999999747,0.5
file_size_curve,9,B,1048576,1024,4,1.0,100,50,0.0,0.1,1024,1556,532,1372,1228,184,144,1048576,1593344,54880,1648224,165.10000000000073,6351.156874621413,9983.185947910313,0.1390879478827384,0.34972677595628415
file_size_curve,9,C,1048576,1024,4,1.0,100,100,0.0,0.2,1024,2002,978,1628,1316,374,312,1048576,2050048,65120,2115168,319.0000000000009,3287.0721003134704,6630.620689655154,0.3092705167173277,0.2820936639118457
file_size_curve,10,A,1048576,1024,4,1.0,100,10,0.0,0.0,1024,1024,0,1024,1024,0,0,1048576,1048576,40960,1089536,5.119999999999935,204800.0000000026,212800.00000000268,0.019999999999999747,0.5
file_size_curve,10,B,1048576,1024,4,1.0,100,50,0.0,0.1,1024,1452,428,1308,1196,144,112,1048576,1486848,52320,1539168,137.59999999999937,7620.465116279105,11185.813953488423,0.14163879598661946,0.3710144927536232
file_size_curve,10,C,1048576,1024,4,1.0,100,100,0.0,0.2,1024,2052,1028,1637,1285,415,352,1048576,2101248,65480,2166728,330.60000000000116,3171.7362371445743,6553.9261947973155,0.3410116731517559,0.2775820005421523
file_size_curve,11,A,1048576,1024,4,1.0,100,10,0.0,0.0,1024,1024,0,1024,1024,0,0,1048576,1048576,40960,1089536,5.119999999999935,204800.0000000026,212800.00000000268,0.019999999999999747,0.5
file_size_curve,11,B,1048576,1024,4,1.0,100,50,0.0,0.1,1024,1456,432,1320,1176,136,144,1048576,1490944,52800,1543744,138.39999999999935,7576.416184971134,11154.219653179243,0.13639455782312696,0.3688760806916426
file_size_curve,11,C,1048576,1024,4,1.0,100,100,0.0,0.2,1024,2023,999,1630,1286,393,344,1048576,2071552,65200,2136752,323.60000000000105,3240.3461063040686,6603.065512978965,0.3348909657320903,0.2803175472214618
file_size_curve,12,A,1048576,1024,4,1.0,100,10,0.0,0.0,1024,1024,0,1024,1024,0,0,1048576,1048576,40960,1089536,5.119999999999935,204800.0000000026,212800.00000000268,0.019999999999999747,0.5
file_size_curve,12,B,1048576,1024,4,1.0,100,50,0.0,0.1,1024,1536,512,1365,1235,171,130,1048576,1572864,54600,1627464,159.70000000000067,6565.911083281125,10190.757670632393,0.1446153846153869,0.3529817304377801
file_size_curve,12,C,1048576,1024,4,1.0,100,100,0.0,0.2,1024,2052,1028,1627,1305,425,322,1048576,2101248,65080,2166328,332.4000000000018,3154.560770156421,6517.232250300807,0.3318007662835291,0.27833650448491437
file_size_curve,13,A,1048576,1024,4,1.0,100,10,0.0,0.0,1024,1024,0,1024,1024,0,0,1048576,1048576,40960,1089536,5.119999999999935,204800.0000000026,212800.00000000268,0.019999999999999747,0.5
file_size_curve,13,B,1048576,1024,4,1.0,100,50,0.0,0.1,1024,1508,484,1348,1219,160,129,1048576,1544192,53920,1598112,152.00000000000045,6898.526315789453,10513.894736842074,0.1333059885151777,0.3585434173669468
file_size_curve,13,C,1048576,1024,4,1.0,100,100,0.0,0.2,1024,2020,996,1631,1303,389,328,1048576,2068480,65240,2133720,321.8000000000007,3258.4711000621433,6630.577998756978,0.3511895625479681,0.2804711038071761
file_size_curve,14,A,1048576,1024,4,1.0,100,10,0.0,0.0,1024,1024,0,1024,1024,0,0,1048576,1048576,40960,1089536,5.119999999999935,204800.0000000026,212800.00000000268,0.019999999999999747,0.5
file_size_curve,14,B,1048576,1024,4,1.0,100,50,0.0,0.1,1024,1492,468,1341,1212,151,129,1048576,1527808,53640,1581448,147.7999999999998,7094.560216508805,10699.918809201637,0.1496699669966989,0.36145428873985175
file_size_curve,14,C,1048576,1024,4,1.0,100,100,0.0,0.2,1024,2056,1032,1656,1326,400,330,1048576,2105344,66240,2171584,331.8000000000019,3160.2652200120374,6544.858348402615,0.3425339366515881,0.27586206896551724
file_size_curve,15,A,1048576,1024,4,1.0,100,10,0.0,0.0,1024,1024,0,1024,1024,0,0,1048576,1048576,40960,1089536,5.119999999999935,204800.0000000026,212800.00000000268,0.019999999999999747,0.5
file_size_curve,15,B,1048576,1024,4,1.0,100,50,0.0,0.1,1024,1452,428,1311,1172,141,139,1048576,1486848,52440,1539288,138.09999999999948,7592.8747284576675,11146.183924692294,0.13071672354948582,0.37061165399927615
file_size_curve,15,C,1048576,1024,4,1.0,100,100,0.0,0.2,1024,1928,904,1558,1217,370,341,1048576,1974272,62320,2036592,297.79999999999984,3521.074546675623,6838.79113498993,0.33794238683127464,0.2937464142283419
file_size_curve,16,A,1048576,1024,4,1.0,100,10,0.0,0.0,1024,1024,0,1024,1024,0,0,1048576,1048576,40960,1089536,5.119999999999935,204800.0000000026,212800.00000000268,0.019999999999999747,0.5
file_size_curve,16,B,1048576,1024,4,1.0,100,50,0.0,0.1,1024,1580,556,1407,1275,173,132,1048576,1617920,56280,1674200,170.60000000000113,6146.400937866313,9813.59906213358,0.14792156862745465,0.34281888182122533
